广东频道,#genre#
安徽卫视,http://171.118.171.98:8085/rtp/226.0.2.145:9072
安徽卫视,http://171.118.171.98:8085/rtp/226.0.2.37:8208
安徽卫视,http://120.10.101.13:4000/rtp/239.253.92.209:6566
重庆卫视,http://sweetown.fun:4000/rtp/239.3.1.122:8160$1920x1080
重庆卫视,http://114.226.231.240:5566/rtp/239.49.1.42:6000$720x576
重庆卫视,http://171.118.171.98:8085/rtp/226.0.2.174:9304
重庆卫视,http://171.118.171.98:8085/rtp/226.0.2.50:8312
重庆卫视,http://120.10.101.13:4000/rtp/239.253.92.10:6053
重庆卫视,http://114.226.231.241:5566/rtp/239.49.1.42:6000
重庆卫视,http://114.226.231.241:5566/rtp/239.49.8.149:6000
重庆卫视,http://124.129.78.38:3333/rtp/239.253.254.38:8000
东方卫视,http://124.230.56.162:55555/rtp/239.76.253.186:9000$1920x1080
东方卫视,http://171.116.182.180:8085/rtp/226.0.2.175:9312$1920x1080
东方卫视,http://sweetown.fun:4000/rtp/239.3.1.136:8032$1920x1080
东方卫视,http://171.120.86.128:8085/rtp/226.0.2.34:8184$720x576
东方卫视,http://171.120.86.128:8085/rtp/226.0.2.175:9312
东方卫视,http://171.118.171.98:8085/rtp/226.0.2.175:9312
东方卫视,http://171.118.171.98:8085/rtp/226.0.2.34:8184
东方卫视,http://120.10.101.13:4000/rtp/239.253.92.89:8019
东南卫视,http://sweetown.fun:4000/rtp/239.3.1.156:8148$1920x1080
东南卫视,http://114.226.231.240:5566/rtp/239.49.1.45:6000$720x576
东南卫视,http://171.120.86.128:8085/rtp/226.0.2.40:8232$720x576
东南卫视,http://27.11.49.234:8010/rtp/225.0.4.200:7980$720x576
东南卫视,http://171.118.171.98:8085/rtp/226.0.2.40:8232
东南卫视,http://171.118.171.98:8085/rtp/226.0.2.188:9416
东南卫视,http://120.10.101.13:4000/rtp/239.253.92.201:6146
东南卫视,http://114.226.231.241:5566/rtp/239.49.1.45:6000
甘肃卫视,http://124.129.78.38:3333/rtp/239.253.254.74:8000$1920x1080
甘肃卫视,http://124.230.56.162:55555/rtp/239.76.253.94:9000$1920x1080
甘肃卫视,http://171.117.245.185:8084/rtp/226.0.2.55:8352$720x576
甘肃卫视,http://sweetown.fun:4000/rtp/239.3.1.49:8188$720x576
甘肃卫视,http://123.123.167.240:8000/rtp/239.3.1.49:8188$720x576
甘肃卫视,http://123.113.236.69:8012/rtp/239.3.1.49:8188$720x576
甘肃卫视,http://171.118.171.98:8085/rtp/226.0.2.55:8352
甘肃卫视,http://114.226.231.241:5566/rtp/239.49.1.238:6000
广西卫视,http://124.129.78.38:3333/rtp/239.253.254.197:8000$1920x1080
广西卫视,http://171.120.86.128:8085/rtp/226.0.2.231:9760$1920x1080
广西卫视,http://www.dsmcloud.top:8888/udp/239.81.0.107:4056$1920x1080
广西卫视,http://114.226.231.240:5566/rtp/239.49.1.40:6000$720x576
广西卫视,http://171.120.86.128:8085/rtp/226.0.2.46:8280$720x576
广西卫视,http://sweetown.fun:4000/rtp/239.3.1.39:8300$720x576
广西卫视,http://123.113.236.69:8012/rtp/239.3.1.39:8300$720x576
广西卫视,http://171.118.171.98:8085/rtp/226.0.2.46:8280
贵州卫视,http://115.171.216.51:4000/rtp/225.1.8.144:8120$720x576
贵州卫视,http://171.118.171.98:8085/rtp/226.0.2.180:9352
贵州卫视,http://171.118.171.98:8085/rtp/226.0.2.43:8256
贵州卫视,http://120.10.101.13:4000/rtp/239.253.92.105:6055
贵州卫视,http://114.226.231.241:5566/rtp/239.49.1.52:6000
贵州卫视,http://114.226.231.241:5566/rtp/239.49.8.174:6000
贵州卫视,http://124.129.78.38:3333/rtp/239.253.254.113:8000
贵州卫视,http://223.215.52.103:58888/rtp/238.1.78.244:7824
海南卫视,http://171.120.86.128:8085/rtp/226.0.2.212:9608$1920x1080
海南卫视,http://115.171.216.51:4000/rtp/225.1.8.158:8304$720x576
海南卫视,http://114.226.231.240:5566/rtp/239.49.1.41:6000$720x576
海南卫视,http://183.185.12.146:8085/rtp/226.0.2.61:8400$720x576
海南卫视,http://171.120.86.128:8085/rtp/226.0.2.61:8400$720x576
海南卫视,http://sweetown.fun:4000/rtp/239.3.1.45:8304$720x576
海南卫视,http://171.213.146.138:5555/rtp/239.93.0.80:5140$720x576
海南卫视,http://171.118.171.98:8085/rtp/226.0.2.61:8400
河北卫视,http://171.120.86.128:8085/rtp/226.0.2.178:9336$1920x1080
河北卫视,http://124.129.78.38:3333/rtp/239.253.254.112:8000$1920x1080
河北卫视,http://124.230.56.162:55555/rtp/239.76.252.199:9000$1920x1080
河北卫视,http://sweetown.fun:4000/rtp/239.3.1.148:8072$1920x1080
河北卫视,http://171.120.86.128:8085/rtp/226.0.2.65:8432$720x576
河北卫视,http://115.171.216.51:4000/rtp/225.1.8.150:8292$720x576
河北卫视,http://171.118.171.98:8085/rtp/226.0.2.178:9336
河北卫视,http://171.118.171.98:8085/rtp/226.0.2.65:8432
河南卫视,http://114.226.231.240:5566/rtp/239.49.1.44:6000$720x576
河南卫视,http://115.171.216.51:4000/rtp/225.1.8.140:8128$720x576
河南卫视,http://171.120.86.128:8085/rtp/226.0.2.195:9472$720x576
河南卫视,http://sweetown.fun:4000/rtp/239.3.1.27:8128$720x576
河南卫视,http://123.123.167.240:8000/rtp/239.3.1.27:8128$720x576
河南卫视,http://171.118.171.98:8085/rtp/226.0.2.52:8328
河南卫视,http://171.118.171.98:8085/rtp/226.0.2.195:9472
河南卫视,http://120.10.101.13:4000/rtp/239.253.92.137:6144
吉林卫视,http://124.129.78.38:3333/rtp/239.253.254.173:8000$1920x1080
吉林卫视,http://123.113.236.69:8012/rtp/239.3.1.240:8172$1920x1080
吉林卫视,http://171.120.86.128:8085/rtp/226.0.2.199:9504$720x576
吉林卫视,http://114.226.231.240:5566/rtp/239.49.1.49:6000$720x576
吉林卫视,http://171.118.171.98:8085/rtp/226.0.2.58:8376
吉林卫视,http://171.118.171.98:8085/rtp/226.0.2.199:9504
吉林卫视,http://120.10.101.13:4000/rtp/239.253.92.202:6147
吉林卫视,http://114.226.231.241:5566/rtp/239.49.1.49:6000
江苏卫视,http://171.120.86.128:8085/rtp/226.0.2.176:9320$1920x1080
江苏卫视,http://124.129.78.38:3333/rtp/239.253.254.83:8000$1920x1080
江苏卫视,http://124.230.56.162:55555/rtp/239.76.253.181:9000$1920x1080
江苏卫视,http://123.123.167.240:8000/rtp/239.3.1.135:8028$1920x1080
江苏卫视,http://171.118.171.98:8085/rtp/226.0.2.176:9320
江苏卫视,http://171.118.171.98:8085/rtp/226.0.2.38:8216
江苏卫视,http://120.10.101.13:4000/rtp/239.253.92.88:8018
江苏卫视,http://114.226.231.241:5566/rtp/239.49.1.16:6000
江西卫视,http://171.120.86.128:8085/rtp/226.0.2.54:8344$1920x1080
江西卫视,http://124.129.78.38:3333/rtp/239.253.254.47:8000$1920x1080
江西卫视,http://sweetown.fun:4000/rtp/239.3.1.123:8164$1920x1080
江西卫视,http://114.226.231.240:5566/rtp/239.49.1.47:6000$720x576
江西卫视,http://171.117.245.185:8084/rtp/226.0.2.198:9496$720x576
江西卫视,http://171.120.57.130:8085/rtp/226.0.2.198:9496$720x576
江西卫视,http://171.116.182.180:8085/rtp/226.0.2.198:9496$720x576
江西卫视,http://171.118.171.98:8085/rtp/226.0.2.54:8344
辽宁卫视,http://124.129.78.38:3333/rtp/239.253.254.92:8000$1920x1080
辽宁卫视,http://171.120.86.128:8085/rtp/226.0.2.173:9296$1920x1080
辽宁卫视,http://sweetown.fun:4000/rtp/239.3.1.210:8056$1920x1080
辽宁卫视,http://171.120.86.128:8085/rtp/226.0.2.35:8192$720x576
辽宁卫视,http://171.117.245.185:8084/rtp/226.0.2.35:8192$720x576
辽宁卫视,http://171.118.171.98:8085/rtp/226.0.2.173:9296
辽宁卫视,http://171.118.171.98:8085/rtp/226.0.2.35:8192
辽宁卫视,http://120.10.101.13:4000/rtp/239.253.92.115:6056
内蒙古卫视,http://xeace.cn:8888/rtp/239.93.0.8:5140$720x576
内蒙古卫视,http://wouu.net:9977/rtp/239.93.0.8:5140$720x576
